status	key	command
Conversion	Backspace	Cancel
Composition	Backspace	Backspace
Precomposition	Backspace	Revert
Composition	Ctrl [	ConvertToFullKatakana
Conversion	Ctrl [	ConvertToFullKatakana
Conversion	Ctrl ]	ConvertToHalfWidth
Composition	Ctrl ]	ConvertToHalfWidth
Precomposition	Ctrl Backspace	Undo
Prediction	Ctrl Delete	DeleteSelectedCandidate
Composition	Ctrl h	MoveCursorLeft
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl n	ConvertNext
Conversion	Ctrl p	ConvertPrev
Composition	Ctrl Shift l	ConvertToFullAlphanumeric
Conversion	Ctrl Shift l	ConvertToFullAlphanumeric
Composition	Ctrl Space	InsertHalfSpace
Conversion	Delete	Cancel
Composition	Delete	Delete
Conversion	Down	ConvertNext
Suggestion	Down	PredictAndConvert
Precomposition	Eisu	ToggleAlphanumericMode
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	ESC	Cancel
Conversion	ESC	Cancel
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Henkan	Convert
Precomposition	Hiragana	InputModeHiragana
Composition	Hiragana	InputModeHiragana
Conversion	Hiragana	InputModeHiragana
Precomposition	Katakana	InputModeFullKatakana
Composition	Katakana	InputModeFullKatakana
Conversion	Katakana	InputModeFullKatakana
Composition	Left	MoveCursorLeft
Composition	Right	MoveCursorRight
Suggestion	Shift Enter	CommitFirstSuggestion
Composition	Shift Left	MoveCursorToBeginning
Composition	Shift Right	MoveCursorToEnd
Precomposition	Shift Space	InsertFullSpace
Composition	Shift Space	InsertFullSpace
Conversion	Shift Space	InsertFullSpace
Conversion	Shift Tab	ConvertPrev
Precomposition	Space	InsertSpace
Conversion	Space	ConvertNext
Composition	Space	Convert
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Precomposition	Escape	CancelAndIMEOff
Precomposition	Ctrl [	CancelAndIMEOff
Composition	ASCII	InsertCharacter
Composition	Hankaku/Zenkaku	IMEOff
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Hankaku/Zenkaku	IMEOff
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Eisu	IMEOn
DirectInput	F13	IMEOn
DirectInput	Hankaku/Zenkaku	IMEOn
DirectInput	Hiragana	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	Katakana	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Hankaku/Zenkaku	IMEOff
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
