status	key	command
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
Composition	Ctrl [	ConvertToFullKatakana
Conversion	Ctrl [	ConvertToFullKatakana
Composition	Ctrl ]	ConvertToHalfKatakana
Conversion	Ctrl ]	ConvertToHalfKatakana
Composition	Ctrl h	MoveCursorLeft
Conversion	Ctrl h	SegmentWidthShrink
Conversion	Ctrl j	ConvertNext
Conversion	Ctrl k	ConvertPrev
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl l	SegmentWidthExpand
Conversion	Ctrl n	ConvertNext
Conversion	Ctrl p	ConvertPrev
Composition	Delete	Delete
Conversion	Delete	Cancel
Conversion	Down	ConvertNext
Suggestion	Down	PredictAndConvert
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Precomposition	Eisu	ToggleAlphanumericMode
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	ESC	Cancel
Conversion	ESC	Cancel
Composition	Henkan	Convert
Conversion	Henkan	ConvertNext
DirectInput	Henkan	Reconvert
Precomposition	Henkan	Reconvert
Conversion	Hiragana	InputModeHiragana
Precomposition	Hiragana	InputModeHiragana
Conversion	Katakana	InputModeFullKatakana
Precomposition	Katakana	InputModeFullKatakana
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentFocusLeft
Conversion	Muhenkan	SwitchKanaType
Precomposition	Muhenkan	InputModeSwitchKanaType
Composition	Right	MoveCursorRight
Conversion	Right	SegmentFocusRight
Composition	Shift Enter	Commit
Conversion	Shift Enter	Commit
Composition	Space	Convert
Conversion	Space	ConvertNext
Precomposition	Space	InsertSpace
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Composition	ASCII	InsertCharacter
Composition	Hankaku/Zenkaku	IMEOff
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Hankaku/Zenkaku	IMEOff
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Eisu	IMEOn
DirectInput	F13	IMEOn
DirectInput	Hankaku/Zenkaku	IMEOn
DirectInput	Hiragana	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	Katakana	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Hankaku/Zenkaku	IMEOff
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
